T,Salt,Cs,fs,Cp,Gamma,Eta,Eta_pred,Eta_abs_err
25,NaCl,1,0.5,0.02,77.4,43.07725,46.48266127987989,3.4054112798798926
25,NaCl,1,0.5,0.02,100.0,35.85065,42.40392726875041,6.553277268750406
25,NaCl,1,0.5,0.02,0.000999,56041.0,60963.88757549685,4922.887575496847
25,NaCl,1,0.5,0.02,0.00129,69271.0,69264.57430531854,6.425694681456662
25,NaCl,1,0.5,0.02,0.00167,73363.0,72186.80581166032,1176.1941883396794
25,NaCl,1,0.5,0.02,0.00215,74099.0,73283.06674262966,815.9332573703432
25,NaCl,1,0.5,0.02,0.00278,73074.0,72723.84932805055,350.15067194945004
25,NaCl,1,0.5,0.02,0.00359,70829.0,70534.89121641622,294.1087835837825
25,NaCl,1,0.5,0.02,0.00464,67738.0,68042.48850865194,304.48850865193526
25,NaCl,1,0.5,0.02,0.00599,64026.0,63771.17691105924,254.82308894075686
25,NaCl,1,0.5,0.02,0.00774,59948.0,60043.18787956961,95.18787956961023
25,NaCl,1,0.5,0.02,0.01,55553.0,55836.43056047725,283.4305604772526
25,NaCl,1,0.5,0.02,0.0129,50951.0,50850.75207799082,100.24792200917727
25,NaCl,1,0.5,0.02,0.0167,46288.0,46165.84868347542,122.15131652457785
25,NaCl,1,0.5,0.02,0.0215,41526.0,41284.961964605485,241.03803539451474
25,NaCl,1,0.5,0.02,0.0278,36826.0,36367.59952920725,458.40047079275246
25,NaCl,1,0.5,0.02,0.0359,32226.0,32106.147384632648,119.85261536735197
25,NaCl,1,0.5,0.02,0.0464,27828.0,27684.264491384496,143.73550861550393
25,NaCl,1,0.5,0.02,0.0599,23691.0,23555.86049788641,135.13950211359042
25,NaCl,1,0.5,0.02,0.0774,19930.0,19826.38571294385,103.6142870561489
25,NaCl,1,0.5,0.02,0.1,16607.0,16582.686585530453,24.313414469546842
25,NaCl,1,0.5,0.02,0.129,13748.0,13742.246314651571,5.753685348428917
25,NaCl,1,0.5,0.02,0.167,11349.0,11261.686334475686,87.31366552431427
25,NaCl,1,0.5,0.02,0.215,9313.7,9309.647870782092,4.052129217909169
25,NaCl,1,0.5,0.02,0.278,7635.0,7564.980519183003,70.0194808169972
25,NaCl,1,0.5,0.02,0.359,6233.9,6271.084570418713,37.18457041871352
25,NaCl,1,0.5,0.02,0.464,5090.1,5107.608068001337,17.50806800133705
25,NaCl,1,0.5,0.02,0.599,4148.4,4178.090232924206,29.69023292420661
25,NaCl,1,0.5,0.02,0.774,3377.8,3185.813126779456,191.9868732205441
25,NaCl,1,0.5,0.02,129.0,58.428,52.429271324378504,5.998728675621493
25,NaCl,1,0.5,0.02,167.0,48.843,47.106352388214034,1.736647611785969
25,NaCl,1,0.5,0.02,215.0,40.785,38.77333648142699,2.011663518573009
25,NaCl,1,0.5,0.02,278.0,34.456,34.28823400229126,0.16776599770874157
25,NaCl,1,0.5,0.02,359.0,30.191,29.72269764448677,0.4683023555132273
25,NaCl,1,0.5,0.02,464.0,25.776,25.307690323101188,0.4683096768988122
25,NaCl,1,0.5,0.02,599.0,22.388,22.238848577601637,0.14915142239836499
25,NaCl,1,0.5,0.02,774.0,19.632,19.312827344346484,0.31917265565351727
25,NaCl,1,0.5,0.02,1000.0,17.352,17.087642839814713,0.26435716018528765
25,NaCl,1,0.5,0.005,0.01,36.259,35.77652043726634,0.48247956273365844
25,NaCl,1,0.5,0.005,0.0119,32.874,30.35162035380955,2.5223796461904513
25,NaCl,1,0.5,0.005,0.0141,25.114,24.58095015768737,0.5330498423126322
25,NaCl,1,0.5,0.005,0.0167,26.89,22.717374720505752,4.172625279494248
25,NaCl,1,0.5,0.005,0.0198,13.287,13.736065358413828,0.44906535841382755
25,NaCl,1,0.5,0.005,0.0235,8.1553,8.79720751512528,0.6419075151252791
25,NaCl,1,0.5,0.005,0.0278,9.3289,8.74562682659284,0.5832731734071608
25,NaCl,1,0.5,0.005,0.033,10.171,9.321366610530312,0.8496333894696875
25,NaCl,1,0.5,0.005,0.0391,7.5899,7.48941921709801,0.10048078290199047
