T,Salt,Cs,fs,Cp,Gamma,Eta_true,Eta_pred_DecisionTree,Eta_pred_RandomForest,Eta_pred_GBT,Eta_pred_XGBoost,Eta_pred_LinearRegression
25,NaCl,1,0.5,0.2,0.391,4.0345,4.68314619388565,4.434084399461895,4.335473243568446,3.1240501,15.011705584587443
25,NaCl,1,0.5,0.2,0.55,3.6816,4.68314619388565,4.127228902099388,3.8802483263258423,3.7694643,15.003676537291954
25,NaCl,1,0.5,0.2,0.774,3.6078,4.68314619388565,4.00269627611626,4.0984373714030236,4.044273,14.992372461059624
25,NaCl,1,0.5,0.2,1.09,3.8153,3.1845450756488902,3.6018287887189233,3.5542993024984093,3.2741365,14.976440119695571
25,NaCl,1,0.5,0.2,1.53,3.3686,3.1845450756488902,3.5002414152841537,3.0111084676022175,3.3750193,14.954284043641891
25,NaCl,1,0.5,0.2,2.15,3.4427,3.1845450756488902,3.5002414152841537,2.9796234618211423,2.9978142,14.923119740942191
25,NaCl,1,0.5,0.2,3.03,3.0237,3.1845450756488902,3.2382113280228255,2.8731239689523576,2.8774283,14.878998013575504
25,NaCl,1,0.5,0.2,4.26,2.8829,3.1845450756488902,3.0776784735180125,2.5658288003378913,2.6384149,14.817546379881678
25,NaCl,1,0.5,0.2,5.99,2.7042,3.1845450756488902,2.9885600562129273,2.408443473199796,2.3535385,14.731543694066728
25,NaCl,1,0.5,0.2,8.43,2.5484,2.737913127378563,2.784468051341618,2.2603521605677908,2.3722568,14.611092933149525
25,NaCl,1,0.5,0.2,11.9,2.385,2.737913127378563,2.4903916711967837,2.137425123918131,2.3323112,14.441490404748004
25,NaCl,1,0.5,0.2,16.7,2.2273,2.737913127378563,2.3661947783778654,2.101822626988902,2.1870759,14.21012208568301
25,NaCl,1,0.5,0.2,23.5,2.0794,1.9241623715922465,2.121221363755995,2.0605175878128876,2.172885,13.88868141933861
25,NaCl,1,0.5,0.2,33.0,1.9657,1.9241623715922465,2.0038389861760653,2.026492650911224,2.1078959,13.451748275367933
25,NaCl,1,0.5,0.2,46.4,1.8656,1.9241623715922465,1.9108433696472096,1.9238275807475975,1.9630063,12.858710069271705
25,NaCl,1,0.5,0.2,65.3,1.7976,1.9241623715922465,1.852269543395374,1.9031526235848124,1.9642029,12.066434636969284
25,NaCl,1,0.5,0.2,91.8,1.7416,2.0054364810584886,1.8459181456329228,1.8894660809547432,1.9418874,11.03709288960145
25,NaCl,1,0.5,0.2,129.0,1.7266,2.0054364810584886,1.8391450732818069,1.8447155187457829,1.9574846,9.738556639649252
25,NaCl,1,0.5,0.2,182.0,2.0481,2.0054364810584886,1.8931734159956628,2.0152821592641557,2.1876106,8.147906944468604
25,NaCl,1,0.5,0.2,256.0,2.6263,2.0054364810584886,2.4487450858432322,2.5189044756060768,2.5531125,6.351998271719234
25,NaCl,1,0.5,0.2,359.0,3.1765,3.463250905657077,3.098877894194524,2.6478643846299983,2.9785333,4.491559760259855
25,NaCl,1,0.5,0.2,505.0,3.7098,3.463250905657077,3.5093367251066923,2.9184942662023077,3.210896,2.7482003482317516
25,NaCl,1,0.5,0.2,711.0,3.6536,3.463250905657077,3.5093367251066923,3.4914502696445595,3.5210025,1.3741116209897979
25,NaCl,1,0.5,0.2,1000.0,3.3413,3.463250905657077,3.575740860939702,3.5029951638439347,3.783663,0.5196468603937724
